error_code,error_affects_availability,error_category,error_description
-12019,N,"Misc. Errors","ERROR_INTERNET_INCORRECT_HANDLE_STATE: The requested operation cannot be carried out because the handle supplied is not in the correct state."
-12018,N,"Misc. Errors","ERROR_INTERNET_INCORRECT_HANDLE_TYPE: The type of handle supplied is incorrect for this operation."
-12017,Y,"Operation cancelled","ERROR_INTERNET_OPERATION_CANCELLED: The operation was canceled, usually because the handle on which the request was operating was closed before the operation completed."
-12016,N,"Misc. Errors","ERROR_INTERNET_INVALID_OPERATION: The requested operation is invalid."
-12015,Y,"Login Failure","ERROR_INTERNET_LOGIN_FAILURE: The request to connect to and log on to an FTP server failed"
-12014,Y,"Incorrect Password","ERROR_INTERNET_INCORRECT_PASSWORD The request to connect and log on to an FTP server could not be completed because the supplied password is incorrect:"
-12013,Y,"Incorrect Username","ERROR_INTERNET_INCORRECT_USER_NAME: The request to connect and log on to an FTP server could not be completed because the supplied user name is incorrect."
-12012,N,"Misc. Errors","ERROR_INTERNET_SHUTDOWN: The Win32 Internet function support is being shut down or unloaded."
-12011,N,"Misc. Errors","ERROR_INTERNET_OPTION_NOT_SETTABLE: The request option cannot be set, only queried."
-12010,N,"Misc. Errors","ERROR_INTERNET_BAD_OPTION_LENGTH: The length of an option supplied to InternetQueryOption or InternetSetOption is incorrect for the type of option specified."
-12009,N,"Misc. Errors","ERROR_INTERNET_INVALID_OPTION: A request to InternetQueryOption or InternetSetOption specified an invalid option value."
-12008,Y,"Protocol Not Found","ERROR_INTERNET_PROTOCOL_NOT_FOUND: The requested protocol could not be located"
-12007,Y,"DNS Lookup Failed","DNS_HOST_NOT_FOUND: The server name or address could not be resolved"
-12006,Y,"Unknown URL Scheme","ERROR_INTERNET_UNRECOGNIZED_SCHEME: The URL scheme could not be recognized or is not supported."
-12005,Y,"Invalid URL","ERROR_INTERNET_INVALID_URL: The URL is invalid."
-12004,N,"Misc. Errors","ERROR_INTERNET_INTERNAL_ERROR: An internal error has occurred."
-12003,N,"Misc. Errors","ERROR_INTERNET_EXTENDED_ERROR: An extended error was returned from the server. This is typically a string or buffer containing a verbose error message. Call InternetGetLastResponseInfo to retrieve the error text."
-12002,Y,"Request Timeout","ERROR_INTERNET_TIMEOUT: The request has timed out."
-12001,N,"Misc. Errors","ERROR_INTERNET_OUT_OF_HANDLES: No more handles could be generated at this time."
-5004,N,"Misc. Errors","AS_INTERUPTED_RESPONSE: HTTP response not completely logged."
-5003,N,"Misc. Errors","AS_INTERUPTED_REQUEST: HTTP request not completely logged."
-5002,N,"Misc. Errors","AS_INTERUPTED_CONNECTION: The opening of connection not completely logged."
-5001,N,"Misc. Errors","AS_INTERUPTED_DNS: The DNS operation not completely logged."
-4008,N,"Misc. Errors","Error occurred, while extracting components from interceptor s log."
-4007,N,"Misc. Errors","Http response was not completely logged: HttpSendRequest"
-4006,N,"Misc. Errors","Cannot set WinInet status callback for synchronous sessions. Support for Java Applets download measurements"
-4005,N,"Misc. Errors","AE_INTERUPTED_CLOSE_CONNECTION: WinInet Close Connection not completely logged Note: not reported in 4.0."
-4004,N,"Misc. Errors","AE_INTERUPTED_RESPONSE: HTTP response not completely logged"
-4003,N,"Misc. Errors","AE_INTERUPTED_REQUEST: HTTP request not completely logged"
-4002,N,"Misc. Errors","AE_INTERUPTED_CONNECTION: The opening of connection not completely logged"
-4001,N,"Misc. Errors","AE_INTERUPTED_DNS: The DNS operation not completely logged"
-1020,Y,"Connection Error","Navigation cancelled. Could not connect to the server"
-1010,Y,"Navigation Failed","Tag not found or page not downloaded properly by IE"
-1004,Y,"DNS Lookup Failed","DNS_NO_SERVER: The server name or address could not be resolved."
-1003,N,"DNS Lookup Failed","DNS_INTERNAL_ERROR: The server name or address could not be resolved."
-1002,Y,"DNS Lookup Failed","DNS_HOST_NOT_FOUND"
-1001,Y,"DNS Lookup Failed","DNS_INVALID_URL_FORMAT: The server name or address could not be resolved."
-1000,Y,"Cannot find server or DNS","Cannot find server or DNS"
-573,Y,"Login Failed","Login failed. Logon Required"
-505,Y,"HTTP Version Not Supported","HTTP Version Not Supported"
-504,Y,"Gateway Timed Out","Gateway Timed Out"
-503,Y,"Service Unavailable","Service Unavailable"
-502,Y,"Bad Gateway","Bad Gateway"
-501,Y,"Not Implemented","Not Implemented"
-500,Y,"Internal Server Error","Internal Server Error"
-480,Y,"Login Failed","Login failed. Logon Required"
-415,Y,"Unsupported Media Type","Unsupported Media Type"
-414,Y,"Request-URL Too Long","Request-URL Too Long"
-413,Y,"Request Entity Too Large","Request Entity Too Large"
-412,Y,"Precondition Failed","Precondition Failed"
-411,Y,"Length Required","Length Required"
-410,Y,"Gone","Gone"
-409,Y,"Conflict","Conflict"
-408,Y,"Request Timed Out","Request Timed Out"
-407,Y,"Proxy Authentication Required","Proxy Authentication Required"
-406,Y,"Not Acceptable","Not Acceptable"
-405,Y,"Method Not Allowed","Method Not Allowed"
-404,Y,"Page Not Found","Page Not Found"
-403,Y,"Forbidden","Forbidden"
-402,Y,"Payment Required","Payment Required"
-401,Y,"Unauthorized","Unauthorized"
-400,Y,"Bad Request","Bad Request"
400,Y,"Bad Request","Bad Request"
401,Y,"Unauthorized","Unauthorized"
402,Y,"Payment Required","Payment Required"
403,Y,"Forbidden","Forbidden"
404,Y,"Page Not Found","Page Not Found"
405,Y,"Method Not Allowed","Method Not Allowed"
406,Y,"Not Acceptable","Not Acceptable"
407,Y,"Proxy Authentication Required","Proxy Authentication Required"
408,Y,"Request Timed Out","Request Timed Out"
409,Y,"Conflict","Conflict"
410,Y,"Gone","Gone"
411,Y,"Length Required","Length Required"
412,Y,"Precondition Failed","Precondition Failed"
413,Y,"Request Entity Too Large","Request Entity Too Large"
414,Y,"Request-URL Too Long","Request-URL Too Long"
415,Y,"Unsupported Media Type","Unsupported Media Type"
449,Y,"Retry","The request should be retried after doing the appropriate action."
480,Y,"Login Failed","Login failed. Logon Required"
500,Y,"Internal Server Error","Internal Server Error"
501,Y,"Not Implemented","Not Implemented"
502,Y,"Bad Gateway","Bad Gateway"
503,Y,"Service Unavailable","Service Unavailable"
504,Y,"Gateway Timed Out","Gateway Timed Out"
505,Y,"HTTP Version Not Supported","HTTP Version Not Supported"
573,Y,"Login Failed","Login failed. Logon required."
800,Y,"Request Timed Out","Request time out. The server did not respond to the request within the time given in the profile"
801,Y,"Connection Problem","Connection Problem."
802,Y,"Modem in use","Modem in use. The modem is in use by another process or user."
803,N,"Misc. Errors","Cannot execute commands. Verify that the modem is plugged in and correctly configured."
804,Y,"Cannot connect to host","Cannot connect to host. Verify that the SIM card is correctly inserted and the dial number in your profile."
805,Y,"Cannot configure PPP","Cannot configure the PPP layer."
806,Y,"Authentification failed","Authentification failed. Make sure you have the correct login and password."
807,Y,"Cannot configure network layer","Cannot configure network layer. Cannot configure the network layer protocols."
808,Y,"Connection reset by peer","Connection reset by peer. Verify theAPN in the profile and your subscription."
809,Y,"Modem in use","Modem in use. The modem is already in use in the same process."
810,Y,"Request Timed Out","Request time out. The server did not respond to the request within the time given in the profile."
811,Y,"WTP Abort","WTP Abort."
812,Y,"Not Finished","Not Finished."
813,Y,"Gateway not reachable","Gateway not reachable."
814,Y,"USSD Error Code","USSD Error Code."
815,Y,"SMS Send Error","Code SMS Send Error Code."
816,Y,"SMS Wait Error","Code SMS Wait Error Code."
817,Y,"Dial Error","Code Dial Error Code."
818,Y,"PressKey Error","Code PressKey (DTMF) Error Code."
819,Y,"Hang Up Error","Code Hang Up Error Code."
820,Y,"Invalid Profile","Profile does not exist."
821,Y,"Script Error.","Script Error insert into trans_error_code_lookup values (syntax grammatical etc.)."
822,Y,"Streaming Error.","Streaming error."
830,N,"Misc. Errors","Abort unknown."
831,Y,"Abort Invalid PDU.","Abort invalid PDU."
832,Y,"Abort Invalid TID.","Abort invalid TID."
833,Y,"Abort Class2 Not Implemented.","Abort class2 not implemented."
834,Y,"Abort SAR Not Implemented.","Abort SAR not implemented."
835,Y,"Abort Acknowledgments Unsupported.","Abort user acknowledgments not supported."
836,Y,"Abort Version 1.","Abort version 1."
837,Y,"Capacity Exceeded.","Capacity exceeded."
838,Y,"Acknowledgments Not Received.","Abort acknowledgments not received."
860,N,"Misc. Errors","Unknown agent error."
900,Y,"Content not well formed","Content not well formed. The syntax of the page is not correct. The content is not well formed."
1001,Y,"DNS Lookup Failed","DNS_INVALID_URL_FORMAT: The server name or address could not be resolved."
1003,N,"DNS Lookup Failed","DNS_INTERNAL_ERROR: The server name or address could not be resolved."
1004,Y,"DNS Lookup Failed","DNS_NO_SERVER: The server name or address could not be resolved."
3001,Y,"DNS Lookup Failed","Invalid URL"
3002,N,"Misc. Errors","Excessive redirects"
3003,N,"Misc. Errors","Excessive frame depth"
3004,N,"Misc. Errors","Excessive bytes"
3013,N,"Misc. Errors","Excessive elements"
4001,Y,"Page Element Timeout","Connection Phase Not Completed."
4002,Y,"Page Element Timeout","HTTP Request Phase Not Completed."
4003,Y,"Page Element Timeout","HTTP Response Phase Not Completed."
4004,Y,"Page Element Timeout","Close Connection Phase Not Completed."
4005,Y,"Page Element Timeout","Cannot set WinInet status callback for synchronous sessions. Support for Java Applets download measurements"
4006,N,"Misc. Errors","Http response was not completely logged: HttpSendRequest"
4007,N,"Misc. Errors","Http response was not completely logged: HttpSendRequest"
4008,N,"Misc. Errors","Exception occurred during processing measurements"
4021,Y,"Page Element Timeout","Firefox started resolving the DNS for the element but never finished"
4022,Y,"Page Element Timeout","Firefox started to make a connection to the web-server but never finished"
4023,Y,"Page Element Timeout","Firefox created a connection to the server but never sent the request"
4024,Y,"Page Element Timeout","Firefox sent the request to the server but didn't finish getting a response"
4025,Y,"Page Element Timeout","Firefox was waiting to get an available connection from the pool and never got one"
4026,Y,"Page Element Timeout","Firefox got a first byte from the response but the response did not finish"
4027,Y,"Page Element Timeout","Firefox got the response but never marked the element as completed"
4028,N,"Misc. Errors","Firefox gave a bad time value for the element"
4029,N,"Misc. Errors","Firefox gave a bad size value for the element"
4030,N,"Misc. Errors","Firefox sent this element after the transaction was already finished"
5001,N,"Misc. Errors","AS_INTERUPTED_DNS: The DNS operation not completely logged."
5002,N,"Misc. Errors","AS_INTERUPTED_CONNECTION: The opening of connection not completely logged."
5003,N,"Misc. Errors","AS_INTERUPTED_REQUEST: HTTP request not completely logged."
5004,N,"Misc. Errors","AS_INTERUPTED_RESPONSE: HTTP response not completely logged."
12001,N,"Misc. Errors","ERROR_INTERNET_OUT_OF_HANDLES: No more handles could be generated at this time."
12002,Y,"Request Timeout","ERROR_INTERNET_TIMEOUT: The request has timed out."
12003,N,"Misc. Errors","ERROR_INTERNET_EXTENDED_ERROR: An extended error was returned from the server. This is typically a string or buffer containing a verbose error message. Call InternetGetLastResponseInfo to retrieve the error text."
12004,N,"Misc. Errors","ERROR_INTERNET_INTERNAL_ERROR: An internal error has occurred."
12005,Y,"Invalid URL","ERROR_INTERNET_INVALID_URL: The URL is invalid."
12006,Y,"Unknown URL Scheme","ERROR_INTERNET_UNRECOGNIZED_SCHEME: The URL scheme could not be recognized or is not supported."
12007,Y,"DNS Lookup Failed","DNS_HOST_NOT_FOUND: The server name or address could not be resolved"
12008,Y,"Protocol Not Found","ERROR_INTERNET_PROTOCOL_NOT_FOUND: The requested protocol could not be located"
12009,N,"Misc. Errors","ERROR_INTERNET_INVALID_OPTION: A request to InternetQueryOption or InternetSetOption specified an invalid option value."
12010,N,"Misc. Errors","ERROR_INTERNET_BAD_OPTION_LENGTH: The length of an option supplied to InternetQueryOption or InternetSetOption is incorrect for the type of option specified."
12011,N,"Misc. Errors","ERROR_INTERNET_OPTION_NOT_SETTABLE: The request option cannot be set, only queried."
12012,N,"Misc. Errors","ERROR_INTERNET_SHUTDOWN: The Win32 Internet function support is being shut down or unloaded."
12013,Y,"Incorrect Username","ERROR_INTERNET_INCORRECT_USER_NAME: The request to connect and log on to an FTP server could not be completed because the supplied user name is incorrect."
12014,Y,"Incorrect Password","ERROR_INTERNET_INCORRECT_PASSWORD The request to connect and log on to an FTP server could not be completed because the supplied password is incorrect:"
12015,Y,"Login Failure","ERROR_INTERNET_LOGIN_FAILURE: The request to connect to and log on to an FTP server failed"
12016,N,"Misc. Errors","ERROR_INTERNET_INVALID_OPERATION: The requested operation is invalid."
12017,Y,"Operation cancelled","ERROR_INTERNET_OPERATION_CANCELLED: The operation was canceled, usually because the handle on which the request was operating was closed before the operation completed due to a timeout or an error."
12018,N,"Misc. Errors","ERROR_INTERNET_INCORRECT_HANDLE_TYPE: The type of handle supplied is incorrect for this operation."
12019,N,"Misc. Errors","ERROR_INTERNET_INCORRECT_HANDLE_STATE: The requested operation cannot be carried out because the handle supplied is not in the correct state."
12020,Y,"Not Proxy Request","ERROR_INTERNET_NOT_PROXY_REQUEST: The request cannot be made via a proxy."
12021,N,"Misc. Errors","ERROR_INTERNET_REGISTRY_VALUE_NOT_FOUND: A required registry value could not be located."
12022,N,"Misc. Errors","ERROR_INTERNET_BAD_REGISTRY_PARAMETER: A required registry value was located but is an incorrect"
12023,N,"Misc. Errors","ERROR_INTERNET_NO_DIRECT_ACCESS: Direct network access cannot be made at this time."
12024,N,"Misc. Errors","ERROR_INTERNET_NO_CONTEXT: context value was supplied."
12025,N,"Misc. Errors","ERROR_INTERNET_NO_CALLBACK: An asynchronous request could not be made because a callback function has not been set."
12026,N,"Misc. Errors","ERROR_INTERNET_REQUEST_PENDING: The required operation could not be completed because one or more requests are pending"
12027,N,"Misc. Errors","ERROR_INTERNET_INCORRECT_FORMAT: The format of the request is invalid."
12028,N,"Misc. Errors","ERROR_INTERNET_ITEM_NOT_FOUND: The requested item could not be located."
12029,Y,"TCP Connection Error","ERROR_INTERNET_CANNOT_CONNECT: A connection with the server could not be established."
12030,Y,"Connection Error","ERROR_INTERNET_CONNECTION_ABORTED: The connection with the server has been terminated"
12031,Y,"Connection Reset","ERROR_INTERNET_CONNECTION_RESET: The connection with the server has been reset."
12032,N,"Misc. Errors","ERROR_INTERNET_FORCE_RETRY"
12033,Y,"Invalid Proxy Request","ERROR_INTERNET_INVALID_PROXY_REQUEST: The request to the proxy was invalid."
12036,N,"Misc. Errors","ERROR_INTERNET_HANDLE_EXISTS: The request failed because the handle already exists"
12037,Y,"Secure cert. date invalid","ERROR_INTERNET_SEC_CERT_DATE_INVALID: SSL certificate date that was received from the server is bad. The certificate is expired."
12038,Y,"Secure cert. name invalid","ERROR_INTERNET_SEC_CERT_CN_INVALID:SSL certificate common name (host name field)is incorrect."
12039,N,"Misc. Errors","ERROR_INTERNET_HTTP_TO_HTTPS_ON_REDIR: The application is moving from a non-SSL to an SSL connection because of a redirect."
12040,N,"Misc. Errors","ERROR_INTERNET_HTTPS_TO_HTTP_ON_REDIR: The application is moving from an SSL to an non-SSL connection because of a redirect."
12041,N,"Misc. Errors","ERROR_INTERNET_MIXED_SECURITY: Indicates that the content is not entirely secure. Some of the content being viewed may have come from unsecured servers"
12042,N,"Misc. Errors","ERROR_INTERNET_CHG_POST_IS_NON_SECURE: multiple lines of text on a server that is not secure."
12043,N,"Misc. Errors","ERROR_INTERNET_POST_IS_NON_SECURE: The application is posting data to a server that is not secure"
12044,N,"Misc. Errors","A certificate is required to complete client authentication"
12052,N,"Misc. Errors","ERROR_INTERNET_HTTPS_HTTP_SUBMIT_REDIR: A security zone check indicates the operation must be retried."
12055,Y,"SSL Cert Error","ERROR_INTERNET_SEC_CERT_ERRORS: The SSL certificate contains errors."
12056,Y,"SSL Cert Error","ERROR_INTERNET_SEC_CERT_NO_REV: The SSL certificate contains errors."
12057,Y,"SSL Cert Error","ERROR_INTERNET_SEC_CERT_REV_FAILED: The SSL certificate contains errors."
12150,N,"Misc. Errors","ERROR_HTTP_HEADER_NOT_FOUND: The requested header could not be located."
12151,Y,"No Headers","ERROR_HTTP_DOWNLEVEL_SERVER: The server did not return any headers."
12152,Y,"Invalid Server Response","ERROR_HTTP_INVALID_SERVER_RESPONSE: The server response could not be parsed."
12153,N,"Misc. Errors","ERROR_HTTP_INVALID_HEADER: The supplied header is invalid"
12154,N,"Misc. Errors","ERROR_HTTP_INVALID_QUERY_REQUEST: The request made to HttpQueryInfo is invalid"
12155,N,"Misc. Errors","ERROR_HTTP_HEADER_ALREADY_EXISTS: The header could not be added because it already exists."
12156,N,"Misc. Errors","ERROR_HTTP_REDIRECT_FAILED: The HTTP redirect request failed."
12157,N,"Misc. Errors","ERROR_INTERNET_SECURITY_CHANNEL_ERROR: An error occurred in the secure channel support."
12158,N,"Misc. Errors","ERROR_INTERNET_UNABLE_TO_CACHE_FILE: The file could not be written to the cache."
12159,N,"Misc. Errors","ERROR_INTERNET_TCPIP_NOT_INSTALLED: The TCP/IP protocol is not installed properly."
12160,N,"Misc. Errors","ERROR_HTTP_NOT_REDIRECTED: The HTTP request was not redirected."
12161,N,"Misc. Errors","ERROR_HTTP_COOKIE_NEEDS_CONFIRMATION: A cookie from the server must be confirmed by the user."
12162,N,"Misc. Errors","ERROR_HTTP_COOKIE_DECLINED: A cookie from the server has been declined acceptance."
12163,N,"Misc. Errors","ERROR_INTERNET_DISCONNECTED: The computer is disconnected from the network."
12164,N,"Misc. Errors","ERROR_INTERNET_SERVER_UNREACHABLE: The server is unreachable."
12165,N,"Misc. Errors","ERROR_INTERNET_PROXY_SERVER_UNREACHABLE: The proxy server is unreachable."
12166,N,"Misc. Errors","ERROR_INTERNET_BAD_AUTO_PROXY_SCRIPT: The proxy auto-configuration script is in error."
12167,N,"Misc. Errors","ERROR_INTERNET_UNABLE_TO_DOWNLOAD_SCRIPT"
12168,N,"Misc. Errors","ERROR_HTTP_REDIRECT_NEEDS_CONFIRMATION: The HTTP redirect request must be confirmed by the user."
12169,Y,"Invalid Certificate","ERROR_INTERNET_SEC_INVALID_CERT:The supplied certificate is invalid."
12170,Y,"Certificate Revoked","ERROR_INTERNET_SEC_CERT_REVOKED:The supplied certificate has been revoked."
12171,N,"Misc. Errors","ERROR_INTERNET_FAILED_DUETOSECURITYCHECK: The Dialup failed because file sharing was turned on and a failure was requested if security check was needed."
12175,Y,"SSL certificate error","SSL certificate error"
50001,N,"Misc. Errors","The internal state of the engine is incorrect"
50002,Y,"Set Credentials failed","WinHttpSetCredentials failed"
50003,Y,"WinHttpOpen failed","WinHttpOpen failed"
50004,Y,"WinHttpConnect failed","WinHttpConnect failed"
50005,Y,"WinHttpOpenRequest failed","WinHttpOpenRequest failed"
50006,Y,"WinHttpSendRequest failed","WinHttpSendRequest failed"
50007,Y,"Response headers exceed 10K","The response headers exceed 10 K"
50008,Y,"WinHttpCrackUrl failed","WinHttpCrackUrl failed"
50009,Y,"WinHttpQueryAuthSchemes failed","WinHttpQueryAuthSchemes failed"
50010,Y,"Passed Action Node is empty","Passed Action Node is empty"
50011,Y,"WinHttpReceiveResponse failed","WinHttpReceiveResponse failed"
50012,Y,"WinHttpQueryDataAvailable fail","WinHttpQueryDataAvailable failed"
50013,Y,"WinHttpReadData failed","WinHttpReadData failed"
50014,Y,"WinHttpQueryHeaders failed","WinHttpQueryHeaders failed"
50015,Y,"WinHttpSetOption failed","WinHttpSetOption failed"
50016,N,"Misc. Errors","Internal state is incorrect"
50017,Y,"Error code too long","Error occurred but the error code length is too big to be set in the database"
50020,Y,"Unrecognized protocol","The script contains unrecognized protocol ( http , soap , dav )"
50021,Y,"Missing WSDL definitions node","The script requires WSDL definitions node, but the node is missing"
50022,Y,"Missing WSDL element","The script requires WSDL element, but is missing"
50023,Y,"Missing WSDL service node","The script requires WSDL service node, but the node is missing"
50024,Y,"Missing WSDL port node","The script requires WSDL port node, but the node is missing"
50025,Y,"Missing WSDL attribute data","Data for WSDL attribute is not provided"
50026,Y,"Unsupported WSDL feature","Particular feature of WSDL is not supported"
50027,Y,"Element not provided","Particular element is not provided"
50030,Y,"Unable to set variable locale","Unable to set the variable locale"
50031,Y,"Unable to set variable time format","Unable to set the variable's time format"
50032,Y,"Variable data exceeds internal buffers","Unable to set the variable's data exceeds the internal buffers"
50033,N,"Misc. Errors","Abnormal condition encountered while performing REGEX ops"
50034,Y,"Too many nested variables","Too may nested variables"
50040,Y,"Invalid XML schema","The xml schema is not valid"
50041,Y,"XML schema validation failed","The schema validation failed"
50042,Y,"Body not well-formed","The headers is not well-formed"
50043,Y,"Headers not well-formed","The headers is not well-formed"
50050,Y,"Certificate required","Certificate is required, but the system store attribute is not provided"
50060,N,"Misc. Errors","Exception of type file exception was caught"
50061,N,"Misc. Errors","Exception of type string was caught"
50062,N,"Misc. Errors","Structured exception caught"
50063,N,"Misc. Errors","Unspecified exception caught"
50070,N,"Misc. Errors","There is XML error in the measurement log"
50100,Y,"SOAP error","The HTTP message is exchanged successfully, however there is SOAP error"
50101,Y,"Custom Error","The script defines a custom error with detailed information in E record."
70020,N,"Misc. Errors","Playback engine error"
70021,N,"Misc. Errors","KNERR_EXCEPTION_ERR"
70022,N,"Misc. Errors","An unknown exception was generated in the Playback Engine."
70023,N,"Misc. Errors","The Playback Engine was unable to allocate memory."
70024,N,"Misc. Errors","A function in the Playback Engine received invalid arguments"
70025,N,"Misc. Errors","An error occurred while using MSXML"
70026,N,"Misc. Errors","The playback Engine encountered a negative window count while detecting Page Complete."
70027,Y,"Can't Import Certificate(s))","This is reported if the certificates(s) in the script cannot be imported during playback"
71000,N,"Misc. Errors","Unauthorized server"
71001,N,"Misc. Errors","User thread exception"
71002,N,"Misc. Errors","Failed to add HTTP header"
71003,N,"Misc. Errors","Failed to add cookie header"
71004,N,"Misc. Errors","Request never completed"
71005,N,"Misc. Errors","Failed to get parameter"
71006,N,"Misc. Errors","No cookie cache"
71007,N,"Misc. Errors","Failed to create connection thread"
71008,N,"Misc. Errors","Label name empty after HTML filter"
99002,N,"Misc. Errors","The execution of a JavaScript block in the transaction script failed"
99002,Y,"Navigation Failed","Higher than expected dispatch cycle count"
